fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2024-MYS-0444,2024-11-26,Mysuru,Keer,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-KAL-0445,2024-10-18,Kalaburagi,Butala Nagar,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2024-CHI-0446,2024-07-23,Chickballapura,Maharaj Road,NDPS,NDPS Act 20,courier parcel concealment,closed,True
FIR-2025-DHA-0447,2025-09-20,Dharwad,Bhardwaj Path,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2025-TUM-0448,2025-03-23,Tumakuru,Kala Ganj,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2024-MYS-0449,2024-03-19,Mysuru,Keer,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-BEL-0450,2024-01-17,Belagavi,Banik Street,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-HAS-0451,2024-09-28,Hassan,Ghosh Chowk,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-CHI-0452,2024-01-14,Chickballapura,Maharaj Road,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2024-KAL-0453,2024-03-30,Kalaburagi,Rajan Road,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2025-SHI-0454,2025-07-05,Shivamogga,Ravi Marg,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-VIJ-0455,2024-09-05,Vijayapur,Walia Nagar,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-CHI-0456,2025-08-28,Chickballapura,Sidhu Chowk,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-DHA-0457,2025-10-23,Dharwad,Bhardwaj Path,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-MAN-0458,2025-03-02,Mandya,Dhawan Chowk,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2024-DHA-0459,2024-04-13,Dharwad,Saha Nagar,Burglary,BNS 331,night house-break via rear entry,charge-sheeted,True
FIR-2025-TUM-0460,2025-05-30,Tumakuru,Sahota,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-BAG-0461,2025-12-24,Bagalkot,Rastogi Path,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-DAK-0462,2024-04-17,Dakshina Kannada,Sankaran Chowk,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-VIJ-0463,2024-05-21,Vijayapur,Shah Marg,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2025-BAL-0464,2025-01-04,Ballari,Arya Road,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-TUM-0465,2025-06-13,Tumakuru,Banik Chowk,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2025-RAI-0466,2025-03-05,Raichur,Dugal Street,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-VIJ-0467,2025-10-21,Vijayapur,Shah Marg,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-VIJ-0468,2024-10-17,Vijayapur,Kanda Chowk,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-DAV-0469,2025-08-29,Davanagere,Mani Road,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-BEL-0470,2024-12-28,Belagavi,Banik Street,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-BAG-0471,2025-01-04,Bagalkot,Kashyap Circle,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-RAI-0472,2025-02-16,Raichur,Amble Circle,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-BAG-0473,2025-12-29,Bagalkot,Bala Marg,Extortion,BNS 308,protection money demand,closed,True
FIR-2025-MAN-0474,2025-02-22,Mandya,Saran Marg,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-SHI-0475,2024-11-08,Shivamogga,Dewan Chowk,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-CHI-0476,2025-01-21,Chickballapura,Sidhu Chowk,Cyber Fraud,IT Act 66D,courier scam,convicted,True
FIR-2025-UDU-0477,2025-01-31,Udupi,Basu Chowk,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-BEL-0478,2025-12-25,Belagavi,Magar Zila,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-VIJ-0479,2024-10-08,Vijayapur,Ram Zila,Murder,BNS 103,gang rivalry,convicted,True
FIR-2025-DAK-0480,2025-03-23,Dakshina Kannada,Madan Circle,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2024-DHA-0481,2024-06-06,Dharwad,Venkatesh Marg,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-BEL-0482,2025-01-19,Belagavi,Magar Zila,Theft,BNS 303,pickpocketing in transit,under-investigation,True
FIR-2025-DHA-0483,2025-07-20,Dharwad,Bhardwaj Path,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-KAL-0484,2025-10-29,Kalaburagi,Dhawan,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2025-RAI-0485,2025-03-09,Raichur,Amble Circle,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-UDU-0486,2025-11-27,Udupi,Basu Chowk,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2024-UDU-0487,2024-04-01,Udupi,Talwar Marg,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2025-BAG-0488,2025-12-25,Bagalkot,Lad Ganj,Theft,BNS 303,shop till theft,under-investigation,True
FIR-2024-DAK-0489,2024-01-10,Dakshina Kannada,Madan Circle,Murder,BNS 103,gang rivalry,court-pending,True
FIR-2024-BAG-0490,2024-02-01,Bagalkot,Kashyap Circle,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2025-VIJ-0491,2025-04-18,Vijayapur,Shah Marg,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-DAV-0492,2024-02-07,Davanagere,Keer Street,Cyber Fraud,IT Act 66D,fake loan app extortion,closed,True
FIR-2025-DAK-0493,2025-11-06,Dakshina Kannada,Sankaran Chowk,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-BEN-0494,2025-04-09,Bengaluru City,Sankaran Chowk,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2025-CHI-0495,2025-04-22,Chickballapura,Chaudry Nagar,NDPS,NDPS Act 20,street-level peddling,court-pending,True
FIR-2024-UDU-0496,2024-01-06,Udupi,Badami Circle,Cyber Fraud,IT Act 66D,UPI phishing call,charge-sheeted,True
FIR-2024-BEN-0497,2024-01-29,Bengaluru City,Jayaraman Nagar,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2025-BAG-0498,2025-10-02,Bagalkot,Kashyap Circle,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-MYS-0499,2025-03-28,Mysuru,Dhawan Ganj,Murder,BNS 103,property dispute,court-pending,True
FIR-2024-DHA-0500,2024-04-08,Dharwad,Venkatesh Marg,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-KOL-0501,2025-04-09,Kolar,Bhat Chowk,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-MAN-0502,2024-09-19,Mandya,Dhawan Chowk,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2025-MAN-0503,2025-10-29,Mandya,Saran Marg,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2024-KOL-0504,2024-08-31,Kolar,Dhawan Street,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-HAS-0505,2025-09-22,Hassan,Ghosh Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-HAS-0506,2025-05-07,Hassan,Sampath Path,Burglary,BNS 331,night house-break via rear entry,under-investigation,True
FIR-2024-KAL-0507,2024-04-27,Kalaburagi,Dhawan,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-DAK-0508,2024-10-17,Dakshina Kannada,Sarma Road,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-DAV-0509,2024-06-29,Davanagere,Singhal Nagar,Murder,BNS 103,property dispute,under-investigation,True
FIR-2025-DAK-0510,2025-11-07,Dakshina Kannada,Madan Circle,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-MAN-0511,2025-06-29,Mandya,Saran Marg,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-DAV-0512,2025-10-06,Davanagere,Mani Road,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-UDU-0513,2024-03-07,Udupi,Basu Chowk,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-MYS-0514,2025-08-20,Mysuru,Babu Road,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-MAN-0515,2024-10-29,Mandya,Gala Street,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-DAV-0516,2024-08-27,Davanagere,Singhal Nagar,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2025-VIJ-0517,2025-07-13,Vijayapur,Walia Nagar,Murder,BNS 103,property dispute,under-investigation,True
FIR-2024-SHI-0518,2024-11-02,Shivamogga,Master Street,Murder,BNS 103,property dispute,convicted,True
FIR-2024-BAL-0519,2024-08-21,Ballari,Arya Road,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-DHA-0520,2025-12-15,Dharwad,Venkatesh Marg,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-UDU-0521,2025-12-03,Udupi,Basu Chowk,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-CHI-0522,2025-07-01,Chickballapura,Rattan Chowk,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2025-CHI-0523,2025-12-06,Chickballapura,Rattan Chowk,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-BAG-0524,2024-03-12,Bagalkot,Kashyap Circle,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2025-CHI-0525,2025-03-04,Chickballapura,Rattan Chowk,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-BEN-0526,2024-07-25,Bengaluru City,Brar Zila,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2025-SHI-0527,2025-04-12,Shivamogga,Ravi Marg,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-MYS-0528,2025-12-16,Mysuru,Babu Road,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2024-MAN-0529,2024-05-04,Mandya,Varughese Zila,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2024-TUM-0530,2024-01-28,Tumakuru,Kala Ganj,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-BAG-0531,2025-05-11,Bagalkot,Kashyap Circle,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-BEL-0532,2025-09-13,Belagavi,Sabharwal Ganj,Murder,BNS 103,gang rivalry,under-investigation,True
FIR-2025-VIJ-0533,2025-03-27,Vijayapur,Kanda Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2025-VIJ-0534,2025-01-21,Vijayapur,Ram Zila,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2024-DAK-0535,2024-04-08,Dakshina Kannada,Sarma Road,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-HAS-0536,2024-12-31,Hassan,Ghosh Chowk,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2024-CHI-0537,2024-11-04,Chickballapura,Rattan Chowk,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-HAS-0538,2025-11-13,Hassan,Bath Chowk,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-DHA-0539,2024-05-07,Dharwad,Venkatesh Marg,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-MYS-0540,2024-05-17,Mysuru,Sarna Road,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2025-BAG-0541,2025-06-17,Bagalkot,Kashyap Circle,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-TUM-0542,2024-07-28,Tumakuru,Kala Ganj,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-TUM-0543,2025-05-07,Tumakuru,Sahota,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2024-SHI-0544,2024-03-26,Shivamogga,Dewan Chowk,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2024-KOL-0545,2024-01-05,Kolar,Bhat Chowk,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-BEL-0546,2024-02-09,Belagavi,Banik Street,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2025-MYS-0547,2025-05-04,Mysuru,Dhawan Ganj,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-DAK-0548,2024-09-17,Dakshina Kannada,Sankaran Chowk,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-SHI-0549,2025-03-13,Shivamogga,Ravi Marg,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2024-VIJ-0550,2024-10-02,Vijayapur,Shah Marg,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-DHA-0551,2025-06-21,Dharwad,Tella Circle,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2024-VIJ-0552,2024-07-06,Vijayapur,Walia Nagar,Murder,BNS 103,property dispute,closed,True
FIR-2024-TUM-0553,2024-10-27,Tumakuru,Kala Ganj,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2024-KOL-0554,2024-02-12,Kolar,Dhawan Street,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-UDU-0555,2025-01-04,Udupi,Date Path,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2024-MAN-0556,2024-09-11,Mandya,Dhawan Chowk,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-MAN-0557,2025-10-10,Mandya,Varughese Zila,Murder,BNS 103,gang rivalry,closed,True
FIR-2024-VIJ-0558,2024-10-27,Vijayapur,Ram Zila,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-DAK-0559,2025-04-23,Dakshina Kannada,Madan Circle,NDPS,NDPS Act 20,courier parcel concealment,closed,True
FIR-2024-HAS-0560,2024-01-30,Hassan,Sampath Path,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2025-CHI-0561,2025-10-10,Chickballapura,Rattan Chowk,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2025-RAI-0562,2025-01-25,Raichur,Amble Circle,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-BEN-0563,2025-01-24,Bengaluru City,Jayaraman Nagar,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2024-RAI-0564,2024-01-10,Raichur,Amble Circle,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2024-CHI-0565,2024-10-07,Chickballapura,Sidhu Chowk,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2024-CHI-0566,2024-07-02,Chickballapura,Maharaj Road,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-KOL-0567,2024-03-14,Kolar,Bhat Chowk,Cheating,BNS 318,land document forgery,under-investigation,True
FIR-2025-CHI-0568,2025-08-14,Chickballapura,Chaudry Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-CHI-0569,2024-04-08,Chickballapura,Sidhu Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-SHI-0570,2024-09-03,Shivamogga,Dewan Chowk,Robbery,BNS 309,highway vehicle stop,court-pending,True
FIR-2024-BAG-0571,2024-10-08,Bagalkot,Lad Ganj,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2025-CHI-0572,2025-08-30,Chickballapura,Maharaj Road,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-BEL-0573,2025-10-29,Belagavi,Sabharwal Ganj,Robbery,BNS 309,knife-point street robbery,closed,True
FIR-2025-DAK-0574,2025-08-11,Dakshina Kannada,Sankaran Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-SHI-0575,2025-06-15,Shivamogga,Ravi Marg,Murder,BNS 103,property dispute,under-investigation,True
FIR-2024-MYS-0576,2024-08-30,Mysuru,Babu Road,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-DHA-0577,2024-05-11,Dharwad,Bhardwaj Path,Theft,BNS 303,shop till theft,court-pending,True
FIR-2025-DAV-0578,2025-07-02,Davanagere,Mani Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-RAI-0579,2025-06-28,Raichur,Amble Circle,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-BEL-0580,2024-08-15,Belagavi,Magar Zila,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2025-BEL-0581,2025-09-14,Belagavi,Magar Zila,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-KAL-0582,2025-12-31,Kalaburagi,Rajan Road,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2024-BAG-0583,2024-07-06,Bagalkot,Lad Ganj,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-MYS-0584,2024-04-05,Mysuru,Keer,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-KOL-0585,2025-05-24,Kolar,Dhawan Street,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2024-DAK-0586,2024-08-18,Dakshina Kannada,Sankaran Chowk,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-BAL-0587,2024-12-12,Ballari,Ramakrishnan Path,Robbery,BNS 309,knife-point street robbery,closed,True
FIR-2025-CHI-0588,2025-09-24,Chickballapura,Rattan Chowk,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-VIJ-0589,2025-05-18,Vijayapur,Kanda Chowk,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2025-SHI-0590,2025-01-18,Shivamogga,Master Street,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-VIJ-0591,2025-01-02,Vijayapur,Kanda Chowk,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-CHI-0592,2025-03-07,Chickballapura,Sidhu Chowk,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-BEN-0593,2024-06-08,Bengaluru City,Brar Zila,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-KAL-0594,2025-03-15,Kalaburagi,Rajan Road,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-BEL-0595,2025-04-30,Belagavi,Sabharwal Ganj,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-KAL-0596,2024-07-15,Kalaburagi,Bhatia Chowk,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-BEL-0597,2024-11-07,Belagavi,Deol Street,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2024-HAS-0598,2024-02-23,Hassan,Ghosh Chowk,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-HAS-0599,2024-05-13,Hassan,Ganesan Marg,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-BEL-0600,2024-04-18,Belagavi,Magar Zila,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-VIJ-0601,2025-04-30,Vijayapur,Ram Zila,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2024-CHI-0602,2024-03-10,Chickballapura,Maharaj Road,Cheating,BNS 318,land document forgery,court-pending,True
FIR-2025-RAI-0603,2025-02-11,Raichur,Sura,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-VIJ-0604,2024-06-12,Vijayapur,Kanda Chowk,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-DAK-0605,2024-05-01,Dakshina Kannada,Sarma Road,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-MAN-0606,2025-10-09,Mandya,Saran Marg,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-BEN-0607,2024-02-28,Bengaluru City,Jayaraman Nagar,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2024-UDU-0608,2024-07-27,Udupi,Badami Circle,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2024-CHI-0609,2024-06-29,Chickballapura,Sidhu Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-UDU-0610,2025-03-12,Udupi,Talwar Marg,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2024-BEN-0611,2024-04-22,Bengaluru City,Majumdar Street,Murder,BNS 103,property dispute,under-investigation,True
FIR-2024-TUM-0612,2024-12-12,Tumakuru,Deo Ganj,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-BEN-0613,2024-05-06,Bengaluru City,Majumdar Street,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-MAN-0614,2024-05-30,Mandya,Saran Marg,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-MAN-0615,2024-10-15,Mandya,Varughese Zila,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2024-KOL-0616,2024-06-03,Kolar,Bhat Chowk,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-MAN-0617,2025-05-26,Mandya,Saran Marg,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-CHI-0618,2024-05-31,Chickballapura,Rattan Chowk,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2025-BAL-0619,2025-10-13,Ballari,Raj,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-TUM-0620,2024-08-12,Tumakuru,Deo Ganj,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2024-KAL-0621,2024-05-22,Kalaburagi,Bhatia Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-TUM-0622,2025-11-09,Tumakuru,Kala Ganj,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2024-KAL-0623,2024-07-05,Kalaburagi,Dhawan,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2024-DHA-0624,2024-01-12,Dharwad,Saha Nagar,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2024-KOL-0625,2024-04-04,Kolar,Rau Nagar,Theft,BNS 303,vehicle theft from parking,closed,True
FIR-2025-UDU-0626,2025-04-24,Udupi,Date Path,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2024-SHI-0627,2024-12-09,Shivamogga,Dewan Chowk,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-HAS-0628,2025-05-10,Hassan,Bath Chowk,Robbery,BNS 309,knife-point street robbery,closed,True
FIR-2024-KOL-0629,2024-04-09,Kolar,Dhawan Street,Cyber Fraud,IT Act 66D,fake loan app extortion,court-pending,True
FIR-2024-TUM-0630,2024-03-21,Tumakuru,Deo Ganj,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-UDU-0631,2024-02-10,Udupi,Badami Circle,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-SHI-0632,2025-04-10,Shivamogga,Dewan Chowk,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2025-SHI-0633,2025-05-14,Shivamogga,Ravi Marg,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-BAL-0634,2025-10-21,Ballari,Ramakrishnan Path,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-RAI-0635,2025-04-22,Raichur,Amble Circle,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2025-CHI-0636,2025-09-10,Chickballapura,Rattan Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-MAN-0637,2025-01-24,Mandya,Dhawan Chowk,Rioting,BNS 191,communal flashpoint clash,closed,True
FIR-2024-UDU-0638,2024-05-25,Udupi,Talwar Marg,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-MAN-0639,2024-10-31,Mandya,Dhawan Chowk,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2025-KAL-0640,2025-09-23,Kalaburagi,Dhawan,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-DHA-0641,2025-11-21,Dharwad,Tella Circle,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2024-VIJ-0642,2024-04-09,Vijayapur,Shah Marg,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-BEN-0643,2025-01-07,Bengaluru City,Jayaraman Nagar,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2025-DAK-0644,2025-04-14,Dakshina Kannada,Sarma Road,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-RAI-0645,2024-04-16,Raichur,Sura,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-BEL-0646,2025-01-25,Belagavi,Sabharwal Ganj,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2025-DAV-0647,2025-06-03,Davanagere,Singh Nagar,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-DAK-0648,2025-09-06,Dakshina Kannada,Madan Circle,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2024-UDU-0649,2024-06-26,Udupi,Basu Chowk,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2025-DAK-0650,2025-07-20,Dakshina Kannada,Deshpande Marg,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2024-BAG-0651,2024-05-13,Bagalkot,Lad Ganj,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-BEN-0652,2025-10-04,Bengaluru City,Majumdar Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-BEN-0653,2025-02-04,Bengaluru City,Sankaran Chowk,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-DAK-0654,2024-07-03,Dakshina Kannada,Sankaran Chowk,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2025-KOL-0655,2025-07-02,Kolar,Wable Chowk,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-CHI-0656,2024-10-07,Chickballapura,Sidhu Chowk,Theft,BNS 303,shop till theft,closed,True
FIR-2024-DAV-0657,2024-09-13,Davanagere,Keer Street,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-UDU-0658,2025-09-29,Udupi,Date Path,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2025-DHA-0659,2025-08-23,Dharwad,Tella Circle,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-MAN-0660,2024-07-09,Mandya,Gala Street,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2025-SHI-0661,2025-07-29,Shivamogga,Dewan Chowk,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-HAS-0662,2024-11-21,Hassan,Ghosh Chowk,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-BEN-0663,2024-10-18,Bengaluru City,Majumdar Street,Murder,BNS 103,property dispute,closed,True
